state,state_name,elec_rate_kwh,elec_rate_cents,capacity_factor,ghi_kwh_m2_day,irr,npv_25yr,simple_payback_yrs,lcoe,year1_savings,lifetime_savings,incentive_tier,state_incentive,net_metering,rate_score,solar_score,irr_score,payback_score,incentive_score,composite_score,rank
HI,Hawaii,0.3884,38.84,0.19,5.59,0.383288,767218.9451164252,2.564123458141528,0.049991672305608276,64645.3,2067306.19,Strong,True,No NEM — self-supply,1.0,0.8450704225352111,1.0,1.0,1.0,96.1,1
CA,California,0.2305,23.05,0.19,5.59,0.238592,400914.94511642505,4.060152609804696,0.049991672305608276,38364.42,1226864.26,Strong,True,Modified NEM 3.0,0.4953659316075423,0.8450704225352111,0.5724062932185958,0.881144325425476,1.0,69.1,2
CT,Connecticut,0.2296,22.96,0.153,4.07,0.194285,295102.99511642504,4.909207547552945,0.062081150199008096,30772.83,984091.1000000001,Strong,True,Net billing,0.49248961329498236,0.32394366197183083,0.4414738944904786,0.8136890908368257,1.0,52.0,3
NV,Nevada,0.1204,12.04,0.2,6.12,0.133431,160200.205116425,7.018287286773581,0.04749211352262817,21094.08,674572.2399999999,Strong,True,Modified NEM,0.14349632470437837,0.9859154929577465,0.2616431636307757,0.6461281212809533,1.0,52.0,4
AZ,Arizona,0.1166,11.66,0.201,6.18,0.129632,152344.44511642505,7.210612734548851,0.04725582301440555,20530.46,656548.14,Strong,True,Full retail NEM,0.13135186960690318,1.0,0.25041667159186276,0.6308483583112516,1.0,51.5,5
MA,Massachusetts,0.2235,22.35,0.153,4.05,0.189379,283707.655116425,5.024959526472124,0.062081150199008096,29955.26,957945.7999999999,Strong,True,Net billing,0.4729945669542985,0.32394366197183083,0.42697608718779173,0.8044928933412888,1.0,51.0,6
NM,New Mexico,0.1189,11.89,0.198,6.05,0.130258,153633.78511642502,7.1782691765276265,0.04797181998231896,20622.97,659506.39,Strong,True,Full retail NEM,0.13870246085011187,0.9577464788732394,0.25226657525502666,0.6334179709437857,1.0,50.7,7
CO,Colorado,0.1074,10.74,0.188,5.5,0.109797,112718.98511642503,8.377405795020774,0.05052348517187265,17687.49,565632.1900000001,Strong,True,Retail NEM,0.10194950463406839,0.8169014084507041,0.1918019125521578,0.5381496457647146,1.0,43.7,8
FL,Florida,0.1144,11.44,0.183,5.31,0.114455,121803.04511642503,8.079095165152198,0.051903934291737716,18339.24,586474.42,Strong,True,Full retail NEM,0.12432086928731222,0.7464788732394364,0.20556685067199373,0.5618496593014586,1.0,43.1,9
NH,,0.2213,22.13,0.151,3.96,0.185258,274193.845116425,5.131458046024844,0.06290341629737654,29272.68,936117.4299999999,,,,0.4659635666347075,0.29577464788732377,0.41479804725824176,0.7960318594312513,0.3,42.7,10
NJ,New Jersey,0.1591,15.91,0.16,4.28,0.141433,177000.775116425,6.6348442711869335,0.05936515628786043,22299.46,713119.2500000001,Strong,True,Net metering,0.2671780121444551,0.42253521126760557,0.2852900152484072,0.6765916842588369,1.0,42.5,11
